source_page_url,title,region_slug,provider,thumbnail_url,audit_stream_url,fetch_status,source_rights_status,licensed_override_note,match_status,quiver_beach_id,quiver_beach_slug,match_score,import_camera_url,stream_import_allowed,candidate_city,candidate_state,candidate_country
https://thesurfersview.com/live-cams/delaware/dewey-beach-webcam-and-surf-report/,Dewey Beach Webcam - The Surfers View,delaware,Coastal Camera Network,https://ccn-media.coastalcameranetwork.com/Delaware/deweybeach.stream/latest.jpg,https://deweybeach.cdn.coastalcameranetwork.com/Delaware/deweybeach.stream/index.m3u8,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/delaware/dewey-beach-webcam-and-surf-report/,false,,DE,USA
https://thesurfersview.com/live-cams/delaware/rehoboth-beach-cam-and-surf-report/,Rehoboth Beach Cam & Surf Report - The Surfers View,delaware,The Surfers View,,,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/delaware/rehoboth-beach-cam-and-surf-report/,false,,DE,USA
https://thesurfersview.com/live-cams/el-salvador/punta-roca-surf-cam-beach-report/,Punta Roca El Salvador Beach Cam - The Surfers View,el-salvador,The Surfers View,https://thesurfersview.com/wp-content/uploads/2021/04/punta-roca-surf-cam.jpg,,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/el-salvador/punta-roca-surf-cam-beach-report/,false,,,El Salvador
https://thesurfersview.com/live-cams/florida/amelia-island-webcam-surf-report/,Amelia Island Webcam & Surf Report - The Surfers View,florida,Coastal Camera Network,https://ccn-media.coastalcameranetwork.com/Florida/ameliaisland.stream/latest.jpg,https://ameliaisland.cdn.coastalcameranetwork.com/Florida/ameliaisland.stream/index.m3u8,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/florida/amelia-island-webcam-surf-report/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/boca-grande-webcam/,Boca Grande Webcam - The Surfers View,florida,The Surfers View,,,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/florida/boca-grande-webcam/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/clearwater-beach-cam/,Clearwater Beach Cam - The Surfers View,florida,The Surfers View,,,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/florida/clearwater-beach-cam/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/cocoa-beach-pier-cam-and-surf-report/,Cocoa Beach Pier Cam & Surf Report - The Surfers View,florida,The Surfers View,,,parsed,public_linkout,,matched,99e50d6b-a1cf-458b-8fff-c199cd55b23c,cocoa-beach-pier-cocoa-beach-fl,1,https://thesurfersview.com/live-cams/florida/cocoa-beach-pier-cam-and-surf-report/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/cocoa-beach-surf-cam/,Cocoa Beach Surf Cam - The Surfers View,florida,The Surfers View,,,parsed,public_linkout,,needs_review,99e50d6b-a1cf-458b-8fff-c199cd55b23c,cocoa-beach-pier-cocoa-beach-fl,0.86,https://thesurfersview.com/live-cams/florida/cocoa-beach-surf-cam/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/dania-beach-cam-surf-report/,Dania Beach Cam & Surf Report - The Surfers View,florida,The Surfers View,,,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/florida/dania-beach-cam-surf-report/,false,,FL,USA
https://thesurfersview.com/live-cams/florida/daytona-beach-cam/,Daytona Beach Cam - The Surfers View,florida,Coastal Camera Network,https://ccn-media.coastalcameranetwork.com/Florida/daytonabeach.stream/latest.jpg,https://daytonabeach.cdn.coastalcameranetwork.com/Florida/daytonabeach.stream/index.m3u8,parsed,public_linkout,,candidate_new,,,0,https://thesurfersview.com/live-cams/florida/daytona-beach-cam/,false,,FL,USA
