#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=270 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:73 out:75 type:b dur:2 cpbdur:2 q:39.43 aq:29.00 tex:0 mv:10 misc:262 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:39.25 aq:28.00 tex:2 mv:24 misc:270 imb:0 pmb:3 smb:4407 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:37.54 aq:27.23 tex:36062 mv:3186 misc:3040 imb:113 pmb:946 smb:3351 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:38.35 aq:34.04 tex:243 mv:437 misc:496 imb:0 pmb:55 smb:4355 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:38.76 aq:37.18 tex:37 mv:11 misc:264 imb:0 pmb:2 smb:4408 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:37.95 aq:27.00 tex:6 mv:111 misc:339 imb:0 pmb:20 smb:4390 d:- ref:0 ;
in:82 out:81 type:P dur:2 cpbdur:2 q:36.58 aq:27.01 tex:35201 mv:3559 misc:3136 imb:176 pmb:1012 smb:3222 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:37.06 aq:30.21 tex:54 mv:35 misc:271 imb:0 pmb:3 smb:4407 d:t ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:36.05 aq:24.85 tex:29643 mv:3735 misc:3222 imb:203 pmb:896 smb:3311 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:36.31 aq:25.00 tex:1 mv:50 misc:285 imb:0 pmb:5 smb:4405 d:s ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:35.77 aq:25.81 tex:14264 mv:2387 misc:2101 imb:76 pmb:464 smb:3870 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:35.91 aq:30.55 tex:303 mv:888 misc:601 imb:0 pmb:85 smb:4325 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:35.98 aq:25.00 tex:7 mv:121 misc:328 imb:0 pmb:15 smb:4395 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:35.84 aq:24.78 tex:24 mv:67 misc:325 imb:0 pmb:13 smb:4397 d:- ref:0 ;
