#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=220 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:108 out:105 type:P dur:2 cpbdur:2 q:41.65 aq:30.50 tex:4727 mv:2317 misc:1708 imb:94 pmb:258 smb:4058 d:t ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:41.10 aq:30.94 tex:189 mv:222 misc:469 imb:3 pmb:28 smb:4379 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:40.83 aq:26.00 tex:6 mv:29 misc:285 imb:1 pmb:4 smb:4405 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:41.38 aq:26.00 tex:3 mv:14 misc:263 imb:1 pmb:1 smb:4408 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:42.00 aq:31.09 tex:4500 mv:2397 misc:1663 imb:115 pmb:245 smb:4050 d:t ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:41.83 aq:37.58 tex:279 mv:166 misc:507 imb:1 pmb:36 smb:4373 d:t ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:41.74 aq:36.20 tex:77 mv:65 misc:322 imb:5 pmb:4 smb:4401 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:41.92 aq:27.00 tex:1 mv:11 misc:260 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:42.13 aq:33.04 tex:5269 mv:2480 misc:1691 imb:113 pmb:243 smb:4054 d:t ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:42.07 aq:35.77 tex:244 mv:228 misc:520 imb:3 pmb:36 smb:4371 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:42.03 aq:33.22 tex:79 mv:44 misc:317 imb:2 pmb:7 smb:4401 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:42.10 aq:27.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:42.44 aq:30.57 tex:3715 mv:2080 misc:1605 imb:90 pmb:235 smb:4085 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:42.28 aq:36.05 tex:227 mv:296 misc:557 imb:1 pmb:45 smb:4364 d:t ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:42.20 aq:30.21 tex:38 mv:4 misc:262 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:42.36 aq:35.12 tex:33 mv:9 misc:270 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:41.84 aq:31.86 tex:6056 mv:2548 misc:1748 imb:127 pmb:265 smb:4018 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:42.14 aq:34.70 tex:251 mv:456 misc:669 imb:3 pmb:65 smb:4342 d:t ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:42.29 aq:27.00 tex:2 mv:14 misc:264 imb:1 pmb:1 smb:4408 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:41.99 aq:34.54 tex:62 mv:15 misc:283 imb:0 pmb:4 smb:4406 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:41.25 aq:31.05 tex:6316 mv:2555 misc:1849 imb:116 pmb:296 smb:3998 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:41.55 aq:32.75 tex:182 mv:409 misc:617 imb:2 pmb:57 smb:4351 d:t ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:41.69 aq:35.88 tex:48 mv:8 misc:264 imb:0 pmb:2 smb:4408 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:41.40 aq:28.02 tex:66 mv:67 misc:315 imb:3 pmb:6 smb:4401 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:40.71 aq:32.28 tex:7762 mv:2769 misc:1973 imb:114 pmb:336 smb:3960 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:40.98 aq:35.35 tex:396 mv:676 misc:856 imb:3 pmb:98 smb:4309 d:t ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:41.11 aq:30.57 tex:79 mv:57 misc:312 imb:4 pmb:4 smb:4402 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:40.84 aq:26.00 tex:2 mv:19 misc:283 imb:0 pmb:4 smb:4406 d:- ref:0 ;
